STATION CODE,LOCATIONS,STATE,TEMP,DO,pH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM
39,"KRISHNA AT GADWAL BRIDGE, A.P.",ANDHRA PRADESH,17.2,5.6,8.1,870,9.5,0,NA,NA
1465,"KRISHNA AT WADAPALLY AFTER CONFL. WITH R. MUSI, A.P.(SHIFTED FROM 1220)",ANDHRA PRADESH,28.4,5.7,8.7,1072,1.6,1.2,11,122
1786,"VEDADRI , GUNTUR DIST., A.P",ANDHRA PRADESH,24.9,6.8,7.9,726,0.9,0.6,2,1875
1787,"AMARAVATI , GUNTUR DIST., A.P",ANDHRA PRADESH,27.6,7,7.8,669,0.6,0.4,2,1613
25,"KRISHNA AT VIJAYWADA, A.P.",ANDHRA PRADESH,25.8,7.2,8,669,0.7,0.7,2,1750
3083,"KRISHNA D/S OF SRISHAILAM,  KURNOOL, A.P.",ANDHRA PRADESH,28.4,6.8,8.2,818,2.9,2,36,860
1782,"HAMSALA DEEVI , GUNTUR DIST, A.P",ANDHRA PRADESH,26,5.5,7.6,14804,0.7,0.7,2,1450
1494,"YAMUNA AT U/S OF LAKHWAR DAM, U.P",UTTARAKHAND,19.7,6.5,8.2,NA,1.1,0,7900,35000
1490,"YAMUNA AT U/S DAK PATTHAR, UTTAR PARDESH",UTTARAKHAND,18.7,7.7,8.2,NA,1.3,0,1100,6509
1553,"YAMUNA , U/S PAONTA SAHIB, H.P",HIMACHAL PRADESH,22.3,7.7,7.5,465,1.2,0.2,9,19
1554,"YAMUNA , D/S PAONTA SAHIB, H.P",HIMACHAL PRADESH,23.7,7.5,7.8,331,1.5,0.2,11,21
1120,"YAMUNA AT WAZIRABAD, DELHI, CPCB",DELHI,NA,9.3,7.6,NA,2.4,NA,NA,10003
1121,"YAMUNA AT NIZAMUDDIN, DELHI",DELHI,NA,1.2,7.5,NA,17.2,9,NA,12010833
1375,"YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",DELHI,NA,1.4,7.6,NA,17.3,9.2,NA,23816667
2495,"YAMUNA AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,25,4,7.7,196,8.3,0,43546,73727
2494,"YAMUNA AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,25,3.7,7.5,273,9.2,0,53546,117273
2493,YAMUNA AT SHAHPUR,UTTAR PRADESH,25.3,4.5,7.5,281,7,0,34818,65000
1069,"YAMUNA AT ALLAHABAD D/S (BALUA GHAT), U.P",UTTAR PRADESH,24.8,8.1,8.2,522,2.4,1.8,2875,5975
1812,"YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN, DELHI",DELHI,NA,1.4,7.5,NA,38.2,NA,NA,18580000
1893,YAGACHI RIVER NEAR PUMPING STATION. HASSAN CITY,KARNATAKA,27.4,5.4,7.7,394,1,0.1,913,3600
1199,HEMAVATI AT D/S OF HOLENARASIPURA TOWN AT RAMADEVALA WEIR,KARNATAKA,27.7,5.8,7.7,298,1,0.1,1073,3533
1200,"SHIMSHA AT D/S OF HIGHWAY BRIDGE, YEDIYAR, KARNATAKA",KARNATAKA,28.7,7.1,7.9,416,3,1.3,NA,1600
1166,"SHIMSHA AT D/S OF BRIDGE, HALAGUR, KARNATAKA",KARNATAKA,26.7,6.3,8.2,573,2.9,0.6,716,2950
1165,"ARKAVATHI AT D/S OF KANAKAPURA TOWN, KARNATAKA",KARNATAKA,27,6.9,7.3,1560,7.3,9.1,56,788
2778,"ARKAVATHI AT T.G. HALLI RESERVOIR, , KARNATAKA",KARNATAKA,29.4,6.6,7.7,1049,4.3,1.3,46,1012
1196,"LAKSHMANTIRTHA  AT D/S OF HUNSUR TOWN, KARNATAKA",KARNATAKA,26.1,4.4,7.8,467,3.8,0.5,1099,4550
2772,"LAKSHMANTIRTHA  AT D/S OF KATTEMALAVADI, KARNATAKA",KARNATAKA,26.2,5.7,7.9,370,2.2,0.4,430,1744
1207,"KABBANI AT MUTHANKARA, KERALA",KERALA,26.9,6.7,7.7,78,0.4,0.8,58,96
1197,"KABBANI AT SARAGUR VILLAGE D/S, KARNATAKA",KARNATAKA,25.3,7.2,7.5,219,1.1,0.3,353,1478
41,"KABBANI AT CAUSE WAY  SATTUR, KARNATAKA",KARNATAKA,25.8,7.2,7.9,299,1.4,0.3,310,1357
1445,"KABBANI AT WATER INTAKE OF KIADB AT NANJANGUD,KARNATAKA",KARNATAKA,25.7,7.2,7.9,266,1.3,0.3,308,1345
2775,"KABINI AT BATHING GHAT, NANJANAGUD, KARNATAKA",KARNATAKA,25.7,5.5,7.7,282,2.3,0.3,647,2717
1208,"BHAVANI AT ELACHIVAZHY, KERALA",KERALA,24.7,7.4,7.7,138,0.7,0.2,197,408
1201,"BHAVANI AT PATHIRAKALIAMMAN KOIL, TAMILNADU",TAMILNADU,24.4,8.1,7.7,108,0.7,0.3,11667,37848
1204,"BHAVANI AT SIRUMUGAI,TAMILNADU",TAMILNADU,24.6,7.5,7.7,207,1.1,0.3,6613,20942
